
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 143 dossier(s) | fin estimee: 16:36:52
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 144 dossier(s) | fin estimee: 16:36:50
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 145 dossier(s) | fin estimee: 16:36:48
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 146 dossier(s) | fin estimee: 16:36:46
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 147 dossier(s) | fin estimee: 16:36:47
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 148 dossier(s) | fin estimee: 16:36:52
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 149 dossier(s) | fin estimee: 16:36:52
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 150 dossier(s) | fin estimee: 16:36:52
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 151 dossier(s) | fin estimee: 16:36:53
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 152 dossier(s) | fin estimee: 16:36:51
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 153 dossier(s) | fin estimee: 16:36:50
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 154 dossier(s) | fin estimee: 16:36:49
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 155 dossier(s) | fin estimee: 16:36:48
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 156 dossier(s) | fin estimee: 16:36:46
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 157 dossier(s) | fin estimee: 16:36:45
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 158 dossier(s) | fin estimee: 16:36:43
  [PROGRESSION]    3,1% | bibliotheque 1/17 | groupes/roles du niveau 3 | 159 dossier(s) | fin estimee: 16:36:44
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 160 dossier(s) | fin estimee: 16:36:41
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 161 dossier(s) | fin estimee: 16:36:40
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 162 dossier(s) | fin estimee: 16:36:42
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 163 dossier(s) | fin estimee: 16:36:40
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 164 dossier(s) | fin estimee: 16:36:39
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 165 dossier(s) | fin estimee: 16:36:38
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 166 dossier(s) | fin estimee: 16:36:37
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 167 dossier(s) | fin estimee: 16:36:35
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 168 dossier(s) | fin estimee: 16:36:34
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 169 dossier(s) | fin estimee: 16:36:33
